periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Total under five Diarrhoea cases reported
202201,Jan-22,202201,,vvOK1BxTbet,Baringo County,KE_County_30,,2559
202201,Jan-22,202201,,HMNARUV2CW4,Bomet County,KE_County_36,,2848
202201,Jan-22,202201,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,3731
202201,Jan-22,202201,,Tvf1zgVZ0K4,Busia County,KE_County_40,,1838
202201,Jan-22,202201,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,1646
202201,Jan-22,202201,,PFu8alU2KWG,Embu County,KE_County_14,,1202
202201,Jan-22,202201,,uyOrcHZBpW0,Garissa County,KE_County_7,,3649
202201,Jan-22,202201,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1605
202201,Jan-22,202201,,bzOfj0iwfDH,Isiolo County,KE_County_11,,2012
202201,Jan-22,202201,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,3880
202201,Jan-22,202201,,BjC1xL40gHo,Kakamega County,KE_County_37,,2729
202201,Jan-22,202201,,ihZsJ8alvtb,Kericho County,KE_County_35,,3603
202201,Jan-22,202201,,qKzosKQPl6G,Kiambu County,KE_County_22,,5140
202201,Jan-22,202201,,nrI2khZx3d0,Kilifi County,KE_County_3,,9894
202201,Jan-22,202201,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,1602
202201,Jan-22,202201,,sPkRcDvhGWA,Kisii County,KE_County_45,,2121
202201,Jan-22,202201,,tAbBVBbueqD,Kisumu County,KE_County_42,,3192
202201,Jan-22,202201,,j8o6iO4Njsi,Kitui County,KE_County_15,,3112
202201,Jan-22,202201,,N7YETT3A9r1,Kwale County,KE_County_2,,4780
202201,Jan-22,202201,,xuFdFy6t9AH,Laikipia County,KE_County_31,,1522
202201,Jan-22,202201,,NjWSbQTwys4,Lamu County,KE_County_5,,974
202201,Jan-22,202201,,yhCUgGcCcOo,Machakos County,KE_County_16,,4161
202201,Jan-22,202201,,BoDytkJQ4Qi,Makueni County,KE_County_17,,3434
202201,Jan-22,202201,,R6f9znhg37c,Mandera County,KE_County_9,,5640
202201,Jan-22,202201,,Eey8fT4Im3y,Marsabit County,KE_County_10,,1935
202201,Jan-22,202201,,Y52XNJ50hYb,Meru County,KE_County_12,,2343
202201,Jan-22,202201,,fVra3Pwta0Q,Migori County,KE_County_44,,2458
